depth,method,dataset,seed,balanced_accuracy
3,CART,breast,0,0.9461111111111111
3,CART,breast,1,0.9283333333333333
3,CART,breast,2,0.9344444444444444
3,CART,breast,3,0.9516666666666667
3,CART,breast,4,0.9438888888888889
3,CART,compas,0,0.642160688541294
3,CART,compas,1,0.6550789676216492
3,CART,compas,2,0.6603931579460831
3,CART,compas,3,0.6722572707662624
3,CART,compas,4,0.6466185381505208
3,CART,credit-g,0,0.6820084915674018
3,CART,credit-g,1,0.6900872744427409
3,CART,credit-g,2,0.6709222785705862
3,CART,credit-g,3,0.6357176553838897
3,CART,credit-g,4,0.6623422573416676
3,CART,diabetes,0,0.6861946483542505
3,CART,diabetes,1,0.725124319204357
3,CART,diabetes,2,0.7469334596258583
3,CART,diabetes,3,0.7151551030073408
3,CART,diabetes,4,0.6760833530665404
3,CART,heart-statlog,0,0.7054698457223001
3,CART,heart-statlog,1,0.6262272089761571
3,CART,heart-statlog,2,0.7857643758765778
3,CART,heart-statlog,3,0.7836605890603086
3,CART,heart-statlog,4,0.7678821879382889
3,CART,liver,0,0.669407453749218
3,CART,liver,1,0.6202073465010278
3,CART,liver,2,0.6292340691750826
3,CART,liver,3,0.6767807668245598
3,CART,liver,4,0.6365626955045134
3,CART,vehicle,0,0.9177659675429439
3,CART,vehicle,1,0.9130919616589162
3,CART,vehicle,2,0.9228195881180601
3,CART,vehicle,3,0.8808009869981968
3,CART,vehicle,4,0.8811806016892854
3,DL85,breast,0,0.94
3,DL85,breast,1,0.9538888888888889
3,DL85,breast,2,0.9372222222222222
3,DL85,breast,3,0.9522222222222222
3,DL85,breast,4,0.9522222222222222
3,DL85,compas,0,0.6613958353657876
3,DL85,compas,1,0.6653794456548838
3,DL85,compas,2,0.6698183256913055
3,DL85,compas,3,0.6702763053776029
3,DL85,compas,4,0.6575477220253
3,DL85,credit-g,0,0.6131029602547471
3,DL85,credit-g,1,0.6061151079136691
3,DL85,credit-g,2,0.6200023587687227
3,DL85,credit-g,3,0.6009258167236702
3,DL85,credit-g,4,0.5097004363722137
3,DL85,diabetes,0,0.6645039071749941
3,DL85,diabetes,1,0.7130239166469334
3,DL85,diabetes,2,0.6911200568316362
3,DL85,diabetes,3,0.7372720814586786
3,DL85,diabetes,4,0.7105375325597916
3,DL85,heart-statlog,0,0.6998597475455821
3,DL85,heart-statlog,1,0.6697054698457223
3,DL85,heart-statlog,2,0.6644460028050492
3,DL85,heart-statlog,3,0.7240532959326789
3,DL85,heart-statlog,4,0.6805750350631137
3,DL85,liver,0,0.6203860934846724
3,DL85,liver,1,0.6042541782107427
3,DL85,liver,2,0.5773527571722227
3,DL85,liver,3,0.6383501653409599
3,DL85,liver,4,0.55188131200286
3,DL85,vehicle,0,0.9350147100692796
3,DL85,vehicle,1,0.9259276834013477
3,DL85,vehicle,2,0.9381228053525672
3,DL85,vehicle,3,0.9403293157445193
3,DL85,vehicle,4,0.9189285375344025
3,GOSDT,breast,0,0.9344444444444444
3,GOSDT,breast,1,0.9288888888888889
3,GOSDT,breast,2,0.9366666666666666
3,GOSDT,breast,3,0.9433333333333334
3,GOSDT,breast,4,0.9322222222222223
3,GOSDT,compas,0,0.6364291676151453
3,GOSDT,compas,1,0.6454939134770685
3,GOSDT,compas,2,0.6404642667447129
3,GOSDT,compas,3,0.6393044128646224
3,GOSDT,compas,4,0.6442636011837013
3,GOSDT,credit-g,0,0.6812124071234815
3,GOSDT,credit-g,1,0.6812124071234815
3,GOSDT,credit-g,2,0.6812124071234815
3,GOSDT,credit-g,3,0.6812124071234815
3,GOSDT,credit-g,4,0.6812124071234815
3,GOSDT,diabetes,0,0.7059199621122425
3,GOSDT,diabetes,1,0.7154629410371773
3,GOSDT,diabetes,2,0.6888231115320862
3,GOSDT,diabetes,3,0.6957849869760834
3,GOSDT,diabetes,4,0.6858868103244139
3,GOSDT,heart-statlog,0,0.5
3,GOSDT,heart-statlog,1,0.6697054698457223
3,GOSDT,heart-statlog,2,0.676367461430575
3,GOSDT,heart-statlog,3,0.7054698457223001
3,GOSDT,heart-statlog,4,0.7054698457223001
3,GOSDT,liver,0,0.6844668871212798
3,GOSDT,liver,1,0.6472875145231924
3,GOSDT,liver,2,0.6635981767807668
3,GOSDT,liver,3,0.6412994905710966
3,GOSDT,liver,4,0.6425954062025203
3,GOSDT,vehicle,0,0.8477270570371074
3,GOSDT,vehicle,1,0.8745610705134288
3,GOSDT,vehicle,2,0.9197114928347727
3,GOSDT,vehicle,3,0.8008920945240581
3,GOSDT,vehicle,4,0.8188051627597988
3,C45,breast,0,0.9461111111111111
3,C45,breast,1,0.9199999999999999
3,C45,breast,2,0.9322222222222223
3,C45,breast,3,0.95
3,C45,breast,4,0.9438888888888889
3,C45,compas,0,0.642160688541294
3,C45,compas,1,0.6399168590723336
3,C45,compas,2,0.655994926994244
3,C45,compas,3,0.6604500666644987
3,C45,compas,4,0.6513961605584642
3,C45,credit-g,0,0.6300860950583795
3,C45,credit-g,1,0.557789833706805
3,C45,credit-g,2,0.5702913079372568
3,C45,credit-g,3,0.5796968982191296
3,C45,credit-g,4,0.5574949876164642
3,C45,diabetes,0,0.7278711816244376
3,C45,diabetes,1,0.7057778830215486
3,C45,diabetes,2,0.7226852948141131
3,C45,diabetes,3,0.6430973241771253
3,C45,diabetes,4,0.6333885863130475
3,C45,heart-statlog,0,0.6942496493688639
3,C45,heart-statlog,1,0.7079242636746144
3,C45,heart-statlog,2,0.7331697054698457
3,C45,heart-statlog,3,0.6837307152875176
3,C45,heart-statlog,4,0.703015427769986
3,C45,liver,0,0.5521494324783269
3,C45,liver,1,0.6532755384752882
3,C45,liver,2,0.5372240593439985
3,C45,liver,3,0.5506747698632586
3,C45,liver,4,0.5521494324783269
3,C45,vehicle,0,0.8729951599126886
3,C45,vehicle,1,0.8683211540286608
3,C45,vehicle,2,0.8759846256050109
3,C45,vehicle,3,0.7873683211540287
3,C45,vehicle,4,0.8801366612887919
3,GATREE,breast,0,0.9494444444444444
3,GATREE,breast,1,0.9405555555555556
3,GATREE,breast,2,0.9288888888888889
3,GATREE,breast,3,0.9522222222222222
3,GATREE,breast,4,0.94
3,GATREE,compas,0,0.6395049483485632
3,GATREE,compas,1,0.6512769232436886
3,GATREE,compas,2,0.6488325582907872
3,GATREE,compas,3,0.6518649800006504
3,GATREE,compas,4,0.643746002840016
3,GATREE,credit-g,0,0.6863132444863781
3,GATREE,credit-g,1,0.5803160750088454
3,GATREE,credit-g,2,0.6224200967095177
3,GATREE,credit-g,3,0.6713350630970634
3,GATREE,credit-g,4,0.6773204387309824
3,GATREE,diabetes,0,0.6402557423632489
3,GATREE,diabetes,1,0.6816007577551504
3,GATREE,diabetes,2,0.7153682216433814
3,GATREE,diabetes,3,0.6762727918541321
3,GATREE,diabetes,4,0.6908358986502486
3,GATREE,heart-statlog,0,0.6833800841514727
3,GATREE,heart-statlog,1,0.6185133239831697
3,GATREE,heart-statlog,2,0.6644460028050492
3,GATREE,heart-statlog,3,0.7002103786816269
3,GATREE,heart-statlog,4,0.6809256661991585
3,GATREE,liver,0,0.6517115023683975
3,GATREE,liver,1,0.6174367682545358
3,GATREE,liver,2,0.5930378049870408
3,GATREE,liver,3,0.6756189114308696
3,GATREE,liver,4,0.5932165519706855
3,GATREE,vehicle,0,0.9539479927873209
3,GATREE,vehicle,1,0.9080383410838
3,GATREE,vehicle,2,0.9034829647907374
3,GATREE,vehicle,3,0.9361772800607384
3,GATREE,vehicle,4,0.9075163708835532
4,CART,breast,0,0.9472222222222222
4,CART,breast,1,0.9283333333333333
4,CART,breast,2,0.9516666666666667
4,CART,breast,3,0.9544444444444444
4,CART,breast,4,0.9438888888888889
4,CART,compas,0,0.6658076160124874
4,CART,compas,1,0.6512660834877999
4,CART,compas,2,0.6685825935199939
4,CART,compas,3,0.668569043825133
4,CART,compas,4,0.6445671143485849
4,CART,credit-g,0,0.675403939143767
4,CART,credit-g,1,0.6900872744427409
4,CART,credit-g,2,0.6749911546172898
4,CART,credit-g,3,0.6910897511498997
4,CART,credit-g,4,0.6450347918386602
4,CART,diabetes,0,0.669263556713237
4,CART,diabetes,1,0.7010419133317547
4,CART,diabetes,2,0.7348093772199857
4,CART,diabetes,3,0.7227563343594601
4,CART,diabetes,4,0.691309495619228
4,CART,heart-statlog,0,0.7054698457223001
4,CART,heart-statlog,1,0.6269284712482468
4,CART,heart-statlog,2,0.7570126227208976
4,CART,heart-statlog,3,0.7780504908835905
4,CART,heart-statlog,4,0.6977559607293128
4,CART,liver,0,0.6903655375815533
4,CART,liver,1,0.5845473232639199
4,CART,liver,2,0.547233890428099
4,CART,liver,3,0.6563142371972472
4,CART,liver,4,0.6800875860219859
4,CART,vehicle,0,0.9444813514283003
4,CART,vehicle,1,0.9130919616589162
4,CART,vehicle,2,0.9308626743854986
4,CART,vehicle,3,0.9389057606529372
4,CART,vehicle,4,0.8955822340324571
4,DL85,breast,0,0.9333333333333333
4,DL85,breast,1,0.9555555555555555
4,DL85,breast,2,0.9344444444444444
4,DL85,breast,3,0.9255555555555556
4,DL85,breast,4,0.9466666666666667
4,DL85,compas,0,0.6635990157501652
4,DL85,compas,1,0.658214367012455
4,DL85,compas,2,0.6668455226388301
4,DL85,compas,3,0.6621573282169686
4,DL85,compas,4,0.6566832514931764
4,DL85,credit-g,0,0.6006014860242953
4,DL85,credit-g,1,0.5688170774855525
4,DL85,credit-g,2,0.5801096827456068
4,DL85,credit-g,3,0.5542221960136808
4,DL85,credit-g,4,0.5745076070291308
4,DL85,diabetes,0,0.6450390717499408
4,DL85,diabetes,1,0.6812929197253137
4,DL85,diabetes,2,0.698342410608572
4,DL85,diabetes,3,0.669263556713237
4,DL85,diabetes,4,0.6594364196069145
4,DL85,heart-statlog,0,0.7349228611500701
4,DL85,heart-statlog,1,0.7812061711079944
4,DL85,heart-statlog,2,0.7079242636746144
4,DL85,heart-statlog,3,0.6756661991584852
4,DL85,heart-statlog,4,0.6293828892005611
4,DL85,liver,0,0.5756993475735097
4,DL85,liver,1,0.5532219143801949
4,DL85,liver,2,0.5548306372329967
4,DL85,liver,3,0.5847707569934757
4,DL85,liver,4,0.5369559388685317
4,DL85,vehicle,0,0.9028423649995255
4,DL85,vehicle,1,0.9325472145772041
4,DL85,vehicle,2,0.9320252443769574
4,DL85,vehicle,3,0.7842602258707412
4,DL85,vehicle,4,0.9366992502609851
4,GOSDT,breast,0,0.9344444444444444
4,GOSDT,breast,1,0.9288888888888889
4,GOSDT,breast,2,0.9366666666666666
4,GOSDT,breast,3,0.9433333333333334
4,GOSDT,breast,4,0.9461111111111111
4,GOSDT,compas,0,0.6379819626462012
4,GOSDT,compas,1,0.6379819626462012
4,GOSDT,compas,2,0.6404642667447129
4,GOSDT,compas,3,0.6454939134770685
4,GOSDT,compas,4,0.6442636011837013
4,GOSDT,credit-g,0,0.6756987852341079
4,GOSDT,credit-g,1,0.6812124071234815
4,GOSDT,credit-g,2,0.6812124071234815
4,GOSDT,credit-g,3,0.6812124071234815
4,GOSDT,credit-g,4,0.6812124071234815
4,GOSDT,diabetes,0,0.7059199621122425
4,GOSDT,diabetes,1,0.7154629410371773
4,GOSDT,diabetes,2,0.7008051148472649
4,GOSDT,diabetes,3,0.6957849869760834
4,GOSDT,diabetes,4,0.6858868103244139
4,GOSDT,heart-statlog,0,0.7054698457223001
4,GOSDT,heart-statlog,1,0.6451612903225806
4,GOSDT,heart-statlog,2,0.6546283309957924
4,GOSDT,heart-statlog,3,0.676367461430575
4,GOSDT,heart-statlog,4,0.7054698457223001
4,GOSDT,liver,0,0.6816963088747878
4,GOSDT,liver,1,0.6472875145231924
4,GOSDT,liver,2,0.6635981767807668
4,GOSDT,liver,3,0.663642863526678
4,GOSDT,liver,4,0.6425954062025203
4,GOSDT,vehicle,0,0.8745610705134288
4,GOSDT,vehicle,1,0.8745610705134288
4,GOSDT,vehicle,2,0.9197114928347727
4,GOSDT,vehicle,3,0.878855461706368
4,GOSDT,vehicle,4,0.878855461706368
4,C45,breast,0,0.9461111111111111
4,C45,breast,1,0.9199999999999999
4,C45,breast,2,0.9516666666666667
4,C45,breast,3,0.95
4,C45,breast,4,0.9438888888888889
4,C45,compas,0,0.6658076160124874
4,C45,compas,1,0.6590246387651351
4,C45,compas,2,0.6661355186281205
4,C45,compas,3,0.6547158357993779
4,C45,compas,4,0.6546887364096561
4,C45,credit-g,0,0.6178794669182687
4,C45,credit-g,1,0.6926819200377403
4,C45,credit-g,2,0.5817018516334473
4,C45,credit-g,3,0.6229803042811652
4,C45,credit-g,4,0.5971812713763416
4,C45,diabetes,0,0.7012076722708975
4,C45,diabetes,1,0.7010182334833057
4,C45,diabetes,2,0.691309495619228
4,C45,diabetes,3,0.7327018707080275
4,C45,diabetes,4,0.6671086905043808
4,C45,heart-statlog,0,0.6942496493688639
4,C45,heart-statlog,1,0.6998597475455821
4,C45,heart-statlog,2,0.7331697054698457
4,C45,heart-statlog,3,0.6816269284712483
4,C45,heart-statlog,4,0.759116409537167
4,C45,liver,0,0.5953168290285101
4,C45,liver,1,0.6593976226651175
4,C45,liver,2,0.5489319867727231
4,C45,liver,3,0.5491554205022791
4,C45,liver,4,0.5744481186879972
4,C45,vehicle,0,0.9364382651608617
4,C45,vehicle,1,0.9181455822340325
4,C45,vehicle,2,0.9050488753914776
4,C45,vehicle,3,0.9239821581095189
4,C45,vehicle,4,0.9228195881180601
4,GATREE,breast,0,0.9433333333333334
4,GATREE,breast,1,0.9472222222222222
4,GATREE,breast,2,0.9338888888888889
4,GATREE,breast,3,0.95
4,GATREE,breast,4,0.9327777777777778
4,GATREE,compas,0,0.6557266430359988
4,GATREE,compas,1,0.6398328509641963
4,GATREE,compas,2,0.6472824731987036
4,GATREE,compas,3,0.6514124201922973
4,GATREE,compas,4,0.6579244035424322
4,GATREE,credit-g,0,0.66243071116877
4,GATREE,credit-g,1,0.6635806109210991
4,GATREE,credit-g,2,0.6533199669772378
4,GATREE,credit-g,3,0.6380174548885482
4,GATREE,credit-g,4,0.6708043401344499
4,GATREE,diabetes,0,0.6475017759886337
4,GATREE,diabetes,1,0.630712763438314
4,GATREE,diabetes,2,0.6841345015391902
4,GATREE,diabetes,3,0.7276817428368458
4,GATREE,diabetes,4,0.6837793038124556
4,GATREE,heart-statlog,0,0.6570827489481066
4,GATREE,heart-statlog,1,0.6462131837307152
4,GATREE,heart-statlog,2,0.6949509116409538
4,GATREE,heart-statlog,3,0.7054698457223001
4,GATREE,heart-statlog,4,0.6784712482468442
4,GATREE,liver,0,0.691929573688444
4,GATREE,liver,1,0.6170792742872464
4,GATREE,liver,2,0.6442935025471446
4,GATREE,liver,3,0.6486281169005272
4,GATREE,liver,4,0.5639467333988739
4,GATREE,vehicle,0,0.8674195691373257
4,GATREE,vehicle,1,0.9195691373256145
4,GATREE,vehicle,2,0.9313846445857454
4,GATREE,vehicle,3,0.9041472905001424
4,GATREE,vehicle,4,0.8543228622947707
3,LLEGO,breast,0,0.9544444444444444
3,LLEGO,breast,1,0.9422222222222222
3,LLEGO,breast,2,0.9561111111111111
3,LLEGO,breast,3,0.9288888888888889
3,LLEGO,breast,4,0.9488888888888889
4,LLEGO,breast,0,0.9594444444444444
4,LLEGO,breast,1,0.9516666666666667
4,LLEGO,breast,2,0.9444444444444444
4,LLEGO,breast,3,0.9438888888888889
4,LLEGO,breast,4,0.9572222222222222
3,LLEGO,compas,0,0.6538865944738925
3,LLEGO,compas,1,0.6523039901141425
3,LLEGO,compas,2,0.6569434056345052
3,LLEGO,compas,3,0.6460982298678635
3,LLEGO,compas,4,0.651144136234052
4,LLEGO,compas,0,0.6630380583829252
4,LLEGO,compas,1,0.6574230648325801
4,LLEGO,compas,2,0.6650108939546682
4,LLEGO,compas,3,0.6689674048540427
4,LLEGO,compas,4,0.6589812797415802
3,LLEGO,credit-g,0,0.6887899516452411
3,LLEGO,credit-g,1,0.6794138459724024
3,LLEGO,credit-g,2,0.6792959075362661
3,LLEGO,credit-g,3,0.6690057789833707
3,LLEGO,credit-g,4,0.6792959075362661
4,LLEGO,credit-g,0,0.6708927939615521
4,LLEGO,credit-g,1,0.6795022997995046
4,LLEGO,credit-g,2,0.6843967448991626
4,LLEGO,credit-g,3,0.6997877108149546
4,LLEGO,credit-g,4,0.683099422101663
3,LLEGO,diabetes,0,0.6884679138053517
3,LLEGO,diabetes,1,0.727492304049254
3,LLEGO,diabetes,2,0.7202936301207672
3,LLEGO,diabetes,3,0.7176651669429316
3,LLEGO,diabetes,4,0.7128581577077906
4,LLEGO,diabetes,0,0.6986028889415108
4,LLEGO,diabetes,1,0.7082642671086905
4,LLEGO,diabetes,2,0.7348093772199857
4,LLEGO,diabetes,3,0.7373431210040255
4,LLEGO,diabetes,4,0.7274449443523561
3,LLEGO,heart-statlog,0,0.7296633941093968
3,LLEGO,heart-statlog,1,0.7457924263674613
3,LLEGO,heart-statlog,2,0.7724403927068724
3,LLEGO,heart-statlog,3,0.7138849929873773
3,LLEGO,heart-statlog,4,0.7191444600280505
4,LLEGO,heart-statlog,0,0.7240532959326789
4,LLEGO,heart-statlog,1,0.8243338008415148
4,LLEGO,heart-statlog,2,0.7272089761570828
4,LLEGO,heart-statlog,3,0.7489481065918654
4,LLEGO,heart-statlog,4,0.732468443197756
3,LLEGO,liver,0,0.6800875860219859
3,LLEGO,liver,1,0.6665475020109035
3,LLEGO,liver,2,0.7009116096165877
3,LLEGO,liver,3,0.6590848154437394
3,LLEGO,liver,4,0.6531414782375548
4,LLEGO,liver,0,0.6576548395745822
4,LLEGO,liver,1,0.6726248994548216
4,LLEGO,liver,2,0.7083296094378407
4,LLEGO,liver,3,0.684511573867191
4,LLEGO,liver,4,0.6576548395745822
3,LLEGO,vehicle,0,0.9539479927873209
3,LLEGO,vehicle,1,0.95057891240391
3,LLEGO,vehicle,2,0.9217756477175667
3,LLEGO,vehicle,3,0.9422748410363481
3,LLEGO,vehicle,4,0.9175049824428205
4,LLEGO,vehicle,0,0.9258090538103825
4,LLEGO,vehicle,1,0.9544699629875676
4,LLEGO,vehicle,2,0.9150374869507449
4,LLEGO,vehicle,3,0.9197114928347727
4,LLEGO,vehicle,4,0.9294391192939166
